,text,task_1
1107,ইয়া মিথিলার মত সন্তান কারোকে দিও না,NOT
1108,হালারপুরে জুতাদি ভাইরায়া হের মুছের গল্লা পালাইয়া দেওন দরকার।,HOF
1109,কোন মাদার চোদ দে এমন পরিচা লকওর মারে দিয়া এমন ছবি বানাইলে আর ভাল চলতো মাগীর পোলা,HOF
1110,সব মেয়েটার দোষ ওকে ধরে ইচ্ছে মতো ধুলাই দেওয়া উচিত কি দোষ ছিলো ছেলেটার ভালো লাগছিলো না ডিভোর্স চেয়ে নে মারার কি দরকার ছিলো তিন্নি?তোদের মতো মেয়েদের জন্য ভালো মেয়েদেরকেও কেউ বিশ্বাস করতে চায় না,NOT
1111,রইট দন্যবাদ,NOT
1112,শুভ সকাল স্যার।।,NOT
1113,এমন দৃশ্য শয্য করা যায় না অাল্লাহ তু‌মি মানুষের মানবতা এতটা নি‌চে নাম‌তে দিও না শয়তান‌কে এতটা ছে‌ড়ে দিও না শয্য করা যায় না,NOT
1114,রুবেল<br />ছাগল। বাচ্চা রা,HOF
1115,দে বাশঁ আইক্কাওয়ালাশালি ইহুদি বলে কিআরাম আছেতো কার সোনার চাপ খেয়ে আবুল তাবুল বলছে,NOT
1116,ও তো কুত্তার চেতেও খারান ও যে হাত দিয়ে মারছে সেই হাত দুটো কেটে দেওয়া হোক,HOF
1117,বাংলাদেশের জনগণের উপর আহ্বান করা হচ্ছে যে নুরুল ভাইয়ের ওপর যদি কোনো হামলা হয় আপনারা কেউ হাত হাত রেখে বসে থাকবেন না,NOT
1118,বিসিবির এত এত টাকা আছে।এসব টাকা কোথায় খরচ করে এইটা জানালে ভালো হতো। এতই যদি কাজ করে তাহলে বিভাগীয় পর্যায়ে ক্রিকেটের এই অবস্থা কেন?,NOT
1119,পুলিশ ও জরিত থাকতে পারে তা না হলে নয়ন এত গুলো মামলার আসামি সে কি ভাবে ঘুরে বেড়ায় পুলিশ জরিত আছে পুলিশের বিচার করা হউক,NOT
1120,তোরে জুতা মারার দরকার,HOF
1121,পাগল ছাগল হইয়া গেছে বিচারক,HOF
1122,খোদার কছম খানকির পোলারে যদি পাইতাম,HOF
1123,এই মহিলা পাগল নাকি আমি ভোটার হওয়ার পর থেকে ভোট দিতে পারছিনা আওয়ামীলীগ নিজেরাই রাতে সিল মেরে সব ভোট শেষ করছে।মানষতো এখন আর ভোট দিতে যায়না। যে জন যায় তাও আওমীলীগ লোকেরা ভোট দিতে দেয়না বলে বাড়ি যান ভোট হয়ে গেছে। এর আগে কখনওতো এমন হয়নি।।আমাদের এলাকায় বিনপির দূর্গ বলে সেখানেও আওমীলীগ জোর করে ভোট নিল এখন সাধারন মানুষ সবই জানে আওয়ামীলীগ তো এ সৈরাশাসকে চ্যাম্পিয়ন,NOT
1124,হুজুর আপনি সম্মানিত লোক ।এক বন্ড তাহেরি কথা বলে আপনার মূল্যবান সময় নষ্ট করবেন না ।,NOT
1125,স্যারের যে দোষ নাই তা আমরা জানি তুমার বোদায় যে এতো চুলকানি তা জানতাম না,HOF
1126,আরে পাগল তুই হিরো আলমের নাম বললি কেন হিরো আলম তো একটা পাগল।,HOF
1127,পাপন গালে গালে জুতা মার তালে তালে,HOF
1128,"এক পায়ের ছবিটা বাকি টুকু কোথায়,ছবি পুরাটা এখনো শেষ হয় নাই ভাই,বাকি অংশ দিলে খুব ভালাে হয়, মতামত জানাবেন",NOT
1129,তোমার নানীর কত ছিল তোমার মার কত ছিল তোমার কত আছে এটা ইনবক্সে জানাও,HOF
1130,মাগীর বিচার চাই,HOF
1131,এরা মাদার চোদ,HOF
1132,শালারে সামনে পেলে পিটিয়ে তার চামরা তুলতাম,HOF
1133,গুদ লাগে ধন দেখাছিস,HOF
1134,"এত ফাপানীতি, রাজনীতি, পিছিয়েপড়া রাষ্ট্রনীতির বকবকানির মাঝে আপনার আশা ঝরা ভাষণ মন ভরালো।",NOT
1135,আসলে ওবায়েদুল কাদের খুবই একজন ভালো মানুষ না হলে তিনি এতদিনে হাজার কোটি টাকার মালিক হতে পারতেন।,NOT
1136,চার নাস্তিকের মায়েরে আমি,HOF
1137,ভাই এগুলাহলো বন্ড়ামি,NOT
1138,এ একটা মাগি এর নাটক <br />আমি দেখিনা ওর চোদাচোদির ভিডিও আছে নষ্টা,HOF
1139,#তুই_রাজাকার।☺,HOF
1140,দিছে যারা তারা কি দেওয়ান মাগির মুরিদ??,HOF
1141,শালার পুত আরেক বেটার গিবত না গেয়ে বেটার সাথে গিয়ে বাহাস কর তর বাপের বেটা হলে । তাহেরি হুজুর একজন মুফতি আর তুই কি? আর আব্বাসি হুজুরকে বলছ বন্ড শালা তুই বন্ড কোতাকানের পিচ্চি,HOF
1142,একটা ঘড়ির টাকা দিয়ে কতটা পরিবার চলতে পারত। সবগুলো চোরের গোস্টি দেশটারে লুটকরে খায়তাছে,NOT
1143,না বলা কথাগুলো দেখলে বলা হয়ে যায় <br />হাজারো এলোমেলো চিন্তারা আজ ধমকে দাঁড়ায়<br />কেন রে দুচোখে আসেনা ঘুম পলকে আদুরে চুপ। <br />জানিনা হয় রে কেন আমার এমন। <br />মন খুঁজে মন<br />মনের মতো মন❤❤❤❤,NOT
1144,"জাতীয় নির্লজ্জ বেহায়টা কি একদিনও পোষ্টের কমেন্টগুলো পড়েনা!চামচামি,দলালি,তেলবাজির লাগি ষাড়রে নোবেল দেয়া হোক।",HOF
1145,ছোট বেলায় শুনতাম ডিসি হতে অনেক সাধনা করতে হয় আর বড় হয়ে বুঝলাম সাধনাকে করতে গেলে ডিসির চেয়ার হারাতে হয় । হায়রে সাধনা তোমাকে নিয়ে ডানেও বিপদ আবার বামেও বিপদ ।,NOT
1146,চুদনা ফলো দিয়া গেলাম পড়ে পড়ুম😇😇😇,HOF
1147,হায়রে ভোদার দেশ😁😁😁,HOF
1148,"স্যার, ছাত্রসমাজ আপনাকে চুদেনা।  তারিখ: ০৮.০৪.২০১৮",HOF
1149,দুধ আর দুধ ভিলো,HOF
1150,চোদাচুদি করার সময় খবর ছিলো না,HOF
1151,মানুষ যে এতো খারাপ হতে পারে রানূ দির মেয়ে কে দেখে বোঝা গেলো অতি লোভ ওর,NOT
1152,কাংলুদেশ এরকম চোদানোাই পারে.....কেলানো মাস্টার.... !!,HOF
1153,পাপন হালারে বেট থেকে জুতার মালা দিয়এই বের করে না কেনে ওর কারনে ভাল পিলিআর গুলো খেলা পারেনা,HOF
1154,আপনাকে কি লিখালিখি করার জন্য সরকারের পারমিশন নিতে হয়? শেষ মুহূর্তে ক্রেডিট নিতে আসছেন! বেঁচে আছেন শুনে ভালো লাগলো।,NOT
1155,কুত্তার বাচ্চা তোদের সবগুলার জুতা দিয়ে মারা উচিত,HOF
1156,জানোয়ার গুলোর ফাসি হক আমিন,HOF
1157,জার্সি পরা স্যামসাং তুই তো একটা বেয়াদব গাঞ্জুট্টি তোর মুখের দিকে তাকালেই বুঝা যাচ্ছে গাঞ্জুট্টি,NOT
1158,খানকি মাগি তুইতো একটা বেশ্যা,HOF
1159,সাবিবর যখন ব্যাটিং এ আসে তখন আমি অনেক থাকি।কিনতু ভাই যখন খারাপ করে তখন জুতা মারতে মন চায়।😄😄,HOF
1160,তমার সাতর কি কথা বলতি পারি নবার,NOT
1161,সবাই জাফর ষা‌ড়ের জন্য মুনাজাত ধ‌রেন,NOT
1162,খানকির পুত পাপন মাদারি খেলবে,HOF
1163,"নিচের লেখাটি পড়ুন, তারপর নিজেকে সেখানে দাড় করান, ভাবুন নিজের বাবার সাথে এটা হলে আপনি কি করতেন যখন দেখতেন স্বাধীনতার এত বছর পর কেউ বুকে রাজাকার লেখা নিয়ে ঘুরছে। পুরো দুনিয়া দিয়ে দিয়েও যদি কেউ অলংকার-বালাংকার যেভাবেই বোঝাই না কেন  রাজাকার শব্দ কানে কুলাঙ্গারের মত বাজবেই । যদি না বাজে তাহলে সে নিজেই সে কুলাঙ্গারদের তালিকার প্রথম সারিতে থাকবে !!!   # মা কে বিশ্বাস করানোর জন্য সত্যি সত্যি আমি আমার বাবার কবরটা খুঁড়েছিলাম। আমার বাবা পা দুটি ভাজ করে সেখানে শুয়েছিলেন। দশ মাসে তার হাড়গুলি ছাড়া আর কিছুই ছিল নআআ, শুধু তার দুই পায়ে ছিল দুটি মোজা, নাইলনের মোজা বলে এতদিনেও কিছু হয় নি। যখন এই মোজাগুলি পরছিলেন আমি সামনে ছিলাম, এতদিন পরে সেই মোজা পায়ে আমার বাবা কবরের মাঝে শুয়ে আছেন, এই পুরো ব্যপারটাতে কেমন জানি একটা ভয়াবহ কষ্ট লুকিয়ে আছে। আমি খুটিয়ে খুটিয়ে আমার বাবা কে দেখলাম। অনেক কয়টি গুলি লেগেছিল তার শরীরে, অনেকটা আদর করার মত হাত বুলিয়ে দিলাম সেই গুলির আঘাতে। একটি গুলি লেগেছিল মাথায়, কেমন লাগে মানুষের মাথায় গুলি লাগলে??......... তার শরীরের হাড়গুলি একটা একক্টা করে কফিনে সাজিয়ে তুলে আমার মাকে গিয়ে দ্বিতীয়বার তার মৃত্যুসংবাদ দিলাম। একটা গাছের নিচে হাটুতে মুখ গুজে বসে ছিলেন আমার মা। তিনি তখন প্রথমবার তার মৃত স্বামীর জন্য কাদঁলেন। নির্জন একটা নদীতীরে আমার দুঃখী মাকে কাঁদতে দেখে আমার বুকের ভিতরে কিছু একটা গোলমাল হয়ে গেল। আমি ঋষি দুর্বাসা নই, হলে সেদিন ছারখার হয়ে যেত অর্ধেক পৃথিবী।"" ----মুহাম্মদ জাফর ইকবাল---",NOT
1164,সালা কুত্তা,HOF
1165,ওয়াজ নাকি গীবত করছে এটা ওয়াজ কয় না অন্যের এড দিতে আসছে।,NOT
1166,এই জানোয়ার কে ধরে মারা উচিত,HOF
1167,রঘুনাথ দাদা কে অনেক ধন্যবাদ এত সুন্দর কিচ্ছা উপহার দেওয়ার জন্য ।,NOT
1168,বেইমান তাহলে দেখানোর দরকার ছিল,NOT
1169,তর মতো বাইন্চোদরা বাংলাদেশ কে নষ্ট করছে কই বললিনা কখন সে খেলবে ইংলেন্ডের হয়ে,HOF
1170,চোখ দেখছেন?😠😠,HOF
1171,ভাই আপনারা তাকে দশ বছর জেল দেন আর জদি না দেন তা হলে তার বাবার বয়ষী এই লোক টাকে মেরে পেলবে এই জানোয়ার টা,HOF
1172,এ সব নাটক করে মানুষকে ধোকা দিতে পারবেন না।এ সরকারের সময়ই একমাত্র জালিয়াতি হয় শিক্ষা ক্ষেত্রে এটা দেশবাসি ভালই জানে।আর আপনি যে একটা পাককা শয়তান।এটাও মানুষ ভাল জানে।,HOF
1173,আল্লামা মামুনুল হকের জুতাদিয়ে তিনটা পুত্তা ও একটা কুত্তির গালে মারতে চাই।,HOF
1174,নাগিন,NOT
1175,ডিসি হিজরাহ হালার দোন নাই পতিতায় পাঠানো হক।,HOF
1176,বুবলি কে চিনি না,NOT
1177,ওরে রাস্তায় দাড়া করাই পেট্রল দিয়া আগুন দিয়াজ্বালাইয়া দিতে হয়,NOT
1178,খুলনার সবাই অনেক ধারারবাহিক খেলছে। খুলনা শিরোপা জিতবে,NOT
1179,শালা ও যদি খেলওয়ার না হতো তাহলে ওকে কে বিয়ে করতো হ্যাপির মতো মেয়ে যে ওর সাথে কথা বলতো এটা ওর কপাল,HOF
1180,তোমার ভোদার ভিডিও আপলোড কর সবস্ক্রাইট করবো মাগি,HOF
1181,কুকুরের বউয়েরা অনেক সুন্দরী হয় তুর লজ্জা থাকা উচিত শালা বদমাইশ,HOF
1182,কাশ্মীরের পক্ষে নিব ভারতকে ছুড়ে ফেলে দিব,NOT
1183,লাশ দেখতে চাই।।,NOT
1184,সালে এসে মাশরাফি বসের শেষের স্ট্রিমরোলার দেখলাম♥,NOT
1185,বালের নাটক <br />মেগাবাইট নষ্ট এবং সময় ও নষ্ট,NOT
1186,মাদারচোদ লোপা তরে পাইলে আমি কেলাইতম আর খেলাইতাম। তকে দেখে চুদার ইচ্ছা করে,HOF
1187,সালারে কাছে পাইলে জুতা মারমু কুতার বাচা,HOF
1188,মুভিটার একশন ছিল খুবই দারুন।,NOT
1189,তুই কয় বাপের জর মিলা হারমজাদা। ভুজে সুনে কথা বলিস। ভিডিওটি ডিলেট কর। পুরা ওয়াজ সুনো বিয়াদব,HOF
1190,"লাইসেন্স বিহীন সরকার, লাইসেন্স বিহীন পুলিশ-বিজিবি। জানতাম তবে দেখাতে পারতাম না। ছাত্ররা দেখিয়ে দিল।  স্যালুট তাদের।",NOT
1191,গাঞ্জা খোর বিচারক আয়নায় নিজেরে দেকছোস,NOT
1192,নাস্তিক এর সাথে যারা একমত পোষণ করছিস তোদের জন্য কঠিন আযাব অপেক্ষা করতেছে।,NOT
1193,পৃ‌থিবীর শেষ সময় চ‌লে এসে‌ছে,NOT
1194,এই খানকির ছেলেকে এখন পর্যন্ত কেউ মারে নাই আমি ঐ খানে থাকলেতো খানকির ছেলেকে না মেরে বের হতাম না 😡😡😡😡😡🤬🤬🤬🤬😡,HOF
1195,খুবই সুন্দর অসাধারণ ছবি,NOT
1196,ঢাকার মেয়েদের ভুদার ঝালা মিটায় দিছি। কেমন লাগছে ঢাকাইয়া মাগিরা উত্তর দে।লাফা এইবার দুধ গুলা নাচায় নাচাই,HOF
1197,যেমন প্রধানমন্ত্রী তেমন তার চেলাপেলা !,NOT
1198,জাফর ইকবাল স্যার যখন নিরাপদ সড়ক নিয়ে কাজ করেছেন তখন অামদের বর্তমার প্রজন্ম হয়ত অনেকেই অ অা শিখা হয় নাই। তার সড়ক নিয়ে ১ম কলাম বের হয় ১৯৯৯ সালে ভোরের কাগজে।,NOT
1199,ফালতু লোক,NOT
1200,বাইনচোদের বাচ্ছা নামাজ নিয়া বাজে কথা বলবি না সালা হিন্দুর বাচ্ছা,HOF
1201,লা হাওলা ওয়া লা কুয়ালাতা ইল্লা বিল্লা এগুলো এডিটিং করা যায় 😁😁😁😁😁,NOT
1202,হয়ত জামাতের রাজাকারের নামে নতুন লিশ্ট তা চারা কি লিখবে কাওয়া কাদের,NOT
1203,অপু মিথ্যা বলতে হলেও পারদর্শী হতে হয়। তুমি তো মিথ্যা বলতে ও শিখনি,NOT
1204,এই জমুনা টিবির খানকির পোলারা আসল ঘটোনা তোলে ধরেনা খানকির পোলার কতো খাইচিস??? মিন্নি কি ডোকাইয়া দিছে তোদের কে,HOF
1205,তোর মতো আবাল চোদা একটা দেশের রাষ্ট্রপতি হলে সেই অবস্থা আর কত ভালো হতে পারে,HOF
1206,ভিডিও টা ডিলিট কর তা না হলে তুমাকে গ্রেফতার করা হবে,NOT
1207,সড়ক মন্ত্রীর গালে জুতা চোরের ঘরের চোর চুরি করে নির্বাচন সুস্থ নির্বাচন হলে আওয়ামী লীগএকটা ভোট পাবে না,NOT
1208,ও নারি না ও নারি নামের একটি হিজরা কারন হিজরা দের লজজা নাই ওকে আপনারা চেক করেন ওর সব ফাস হয়ে জাবে ওর সব পিলাশ টিক ছার জারি করা,NOT
1209,স্বভাপতি সবসময় ফিক্সড থাকবে।।।,NOT
1210,সালা মদি দেখ কেমন লাগে দেখ কেমন লাগবে,HOF
1211,ফকিন্নি আগের যায়গাত যা,NOT
1212,এই ধরনের সন্তান কে মেরে ফেলা উচিত,HOF
1213,বাংলাদেশে কুকুরের মত কাজ কাম চলতেছে এক জন বড় মাফের মানুষ হয়ে অপিসে এই রকম নিচু কাজ কি ভাবে করে সালা কে জুতার বারি দিলে ঠিক হয়ে যাবে,HOF
1214,সেই মুহূর্ত যখন সারারাত গঞ্জিকা খেয়ে কেউ লিরিক্স লেখতে বসে!,NOT
1215,তোরা মা জাতির কলক তদের পাথর মেরে হত্যা করা হোক,NOT
1216,ফাঁসি হবে কবে,NOT
1217,দেশে একমাত্র ওবাইদুল কাদেরি আছে যার কাজে ভুলের সংখ্যা সবচেয়ে কম এবং নিখুত তোরা মাগিরপোলারা যারা পুরা ভিডিও না দেখে শুধু লেখা দেখে কমেন্ট করচোস তোর এলাকার রাস্তা কি তোগো বোউরা চুইদা করছে,HOF
1218,সাব্বির কে যারা গালি দিবে taderke আমি চুদবো,HOF
1219,সেরা অভিনেতা অবশ্যই মোশারফ,NOT
1220,এটাকে জেলা প্রশাসক বলা যায় না একটা জানোয়ার ওর শাস্তি হওয়া উচিত,HOF
1221,ভিডিওটি দেখে হাসি থামাতে পারছি না।,NOT
1222,মাগি সব মিথা বলে মাগির ফাসি চাই,HOF
1223,দাড়িওয়ালা শালার কাছে টাকা নাই শেভ করার জন্য মাদারচোদ,HOF
1224,তুমি পতিতালয়ে যাও তাহলে বাচার মতো বাঁচতে পারবে। প্রতিদিন বড় বড় সাগর কলা খেতে পারবে।,HOF
1225,নাস্তিকেরর ধ্বংস হউক,NOT
1226,সালারে ফাসি চাই,HOF
1227,একজনকে জুয়াড়ি বহুৎ বড় মাদারচোদ পাবনীক্রিকেট বোর্ডের চেহারমান হয়ে থাকার কোন যোগ্যতাই রাখেনাযেখানে একজন জুয়াড়ির ভিডিও সরাসরি ভাইরাল সেখানে কি করে এখনো টিকে থাকে আমি বুঝি না আমার সোনার বাংলায় সোনার বাংলা।,NOT
1228,ফাঁসি দিয়ে কারো আত্মার শান্তি দেওয়া যায় না তাদের যাবজ্জীবন কারাদণ্ড দিলে আমি মনে করি ভালো হতো একজনের জন্য অনেকগুলো পরিবারের ক্ষতি হবে,NOT
1229,"হাউয়ার পোলা,সোজা কইলেই পারতি যে মার্কাটা নৌকা।",NOT
1230,খুব তারাতারী ফাসির কাজটা করা হোক সত্যি কথা কি লিখতো জা সত্যি তা তো হলেই আর কি সত্যি বাকী অপরাধীর ফাসি চাই ব্যস,NOT
1231,ভাই আপনে ধন্যবাদ,NOT
1232,"স্যার, আপনার পোস্টে মুতের গন্ধ পাইতেছি, বমি করতে গিয়া আবার মুইতা দ্যাননাইতো?",NOT
1233,কেমেরা যে লাগিয়েছে তারে পুরুষ্কার দেওয়া হোক। আর এই ধরণের উচ্চ পদস্থ কর্মকর্তাদের রোমের সামনে পতিতালয়ের নারী রাখা হোক তাদের মন চাইলে সিবলিস গনরিয়া এইডস তৈরী করুক। তবু দেশ নিরাপদে চলুক।,HOF
1234,তুই কুত্তা শুয়ার এর চেয়ে নিচে।।।তর অবস্থান।।।,HOF
1235,আবরারকে নিয়ে প্রতিবাদী গান শুনুন আমার চ্যানেলে গানের প্রতিটি শব্দই যেন এক একটা অ্যাটাম বুম শুনলেই গা শিউরে উঠবে - - -,NOT
1236,তোরা সত্য খবর শুনাতে না পারলে বুঝবো যে তোদের মা সুকরের সাথেই সঙ্গম করায় তরা ঐরকম মিথ্যেবাদী হয়েছো,HOF
1237,খানকির পোলায় কয় কতটুকু অনৈতিকতা হইছে মাদারচোদ পুন্দপুন্দি হইছে এরপর ও বলে কতটুকু অনৈতিকতা হইছে।🥴🤭🤣,HOF
1238,ভাই আপনার প্রতি অনুরোধ রইলো এই শ্রেণীর কোন কাওকে আর আপনার শোতে আইনা ফেমাস বানাইয়েন না।যেমন হিরো আলম ও সানাই,NOT
1239,পাপোন দলের জদি কোনো খতি হয় তাহলে তোরে জবাই করবো কুওার বাচ্চা,HOF
1240,এগুলাকে বলে নাটক,NOT
1241,এই ময়ে একটা মাগি মেয়েরার কারন দেশের এইঅবেছতা এই দরনের মেয়েরার প্রাসি ছাই নাসিরের কুনু দুস নাই সব মেয়ের দুস নাসিরকে দলে ছাই,HOF
1242,এগুলো তো আবাল মনে হচ্ছে,HOF
1243,অপু উকিল নাকি বেশ্যা বৃত্তি করতো!!?,HOF
1244,এ অভাব হয়ে যায় সালা বাটপার তরে কত বার দুলাই করলো,HOF
1245,শালায় নিজে একটা বন মানুষ সে মানুষ দেখলেতো এমন করবেই,HOF
1246,হাসিনা মাগির প্রতিহিংসার শিকার,HOF
1247,এই শালাকে জুতা দিয়ে পিটান সবাই,HOF
1248,সরকার প্রাধানের কাছে অনুরোদ করব এই যারজ সন্তানকে ফাঁসি দেওয়া হোক,HOF
1249,হালায় দূর্বল হাদীস কইছে।,NOT
1250,সে অপরাধী চেহারা দেখলেই বোঝা যায়,NOT
1251,ওরে আমার কাছে নিয়ায় ওর হাত দুইটা কাইটা কুত্তারে খাওয়াইয়া দিমু,NOT
1252,আমাদের কক্সবাজারের গৌরব,NOT
1253,আমারী একী কতা আমিন খানের মত সুপার হিরো তাখতে এই ছবিতে আরেক ছাগলের মত নায়কের কী দরকার এই হালারে গাজা খোরের মত লাগে হেতে বুলে হিরো সালার কী বলব বাংলাদেশর পরিচালক দের যাকে মনে চায় হেতেরে নায়ক বানায় এই ছবি মনে করেছিলাম দেখব আমার পছন্দের নায়ক আমিন খান কিন্তু এখন দেকি এই পাগল ছগল নায়ক এরেক টা দেখতে মন হয় চিকন আলির মত।,HOF
1254,হালাগো শুধু পিটানো উচিত ভন্ড পীর😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,HOF
1255,মধু খেয়ে এখন ছেরে দিলো বানচুদে,HOF
1256,আমি বুঝতে পারছিনা এতো ছোটো মাপের বদমাস বাংলাদেশের মানুষ স‌হ‍্য করলেন কিভাবে। দুঃখজনক বেপার।,NOT
1257,সুরা বাকারার নাম্বার আয়াতের আল্লাহ ধর্মব্যবসা নিষিদ্ধ করেছেন আবং আগুন খাওয়ার সমতুল্য করেছেন ধর্মব্যবসায়ীরা ওয়াজ করে হারাম উপার্জন চালিয়ে যাচ্ছে এটা তো হারাম উপার্জন এখনো সময় আছে ধান্দা বাচ্চাদের বয়কোট করুন।,NOT
1258,তরে আমরা আর দেখতে চাই না হালার পুত,HOF
1259,অবশেষে তাহার চেতনা জাগ্রত হল😂😂,NOT
1260,মুক্তিযুদ্দে না যেয়ে যিনি পালিয়ে বেরিয়েছেন......হাহাহা... ভালো ই তো  দেশপ্রেমিক,NOT
1261,ভাই কথা একটাই আমাদের ক্রিকেটে রাজনীতি ঢুকে পড়ছে <br />ওই পোকা যতদিন দমন না হবে ততদিন তর্ক বিতর্ক থাকবেই!!,NOT
1262,এ টাকায় ত অনেক বেকার ব্যাবসা করে সাফল্য পেতে পারে তবে তিনি একজন মন্তী তারহাতে মানায়,NOT
1263,জারজএরবাচাচাজারজ,HOF
1264,মাগী একটা স্যারের দোষ বলে নাই।আকাম করলে দোষ টা কিসের সে তাই,HOF
1265,পাপন হালা সকল নেস্টের মুল,HOF
1266,আমার অসম্ভব প্রিয় একটা মুভি💜💜,NOT
1267,এটা বাংলাদেশ এই দেশে সব সম্ভব ।,NOT
1268,ডিসলাইক দেওয়া হারামির বাচ্চাগুলা দেওয়ানবাগির মুরিদ।,HOF
1269,মোদির দুই গালে জুতা মারো তালে তালে পাকিস্তান জিন্দাবাদ,HOF
1270,ওরে বেশ্যা মাগী ইংরেজি বলতে তো পারিস না। আমেরিকান একসেন্ট এ বাংলা বলে কি নিজের রেট বারাবার চেষ্টা করছস তোর মত ছিনাল মাগীদের জন্য বাকি মেয়েরা নষ্ট হচ্ছে।,HOF
1271,আল্লাহু আমাদের কবুক ও মঞ্জুল করুন,NOT
1272,আমি কাতার থাকি আমি দশ হাজার টাকার গড়ি কেনার ক্ষমতা নাই তাই বলে কি তুকে গালিবো নাকিরে খারকির পোলা শুয়রে বাচ্চা তার থলিতে তুর বৌয়ের ব্রা আছে।,HOF
1273,লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা সব শালারা লুচ্চা লুচ্চা লুচ্চা লুচ্চা লুচ্চা।,HOF
1274,অনেক সুন্দর বিচার হয়েছে।সকল আসামির জে দিন ফাসি হবে ।সেই দিন আমরা সকল বাংগালী শান্তি পাব,NOT
1275,ওই কুত্তার বাচ্চাদের লাথি মেরে চেয়ার থেকে ফেলে দেওয়া উচিত ওরা চেয়ারে বসার যোগ্য না,HOF
1276,আয়লাভ শাকিল খান ভাই,NOT
1277,ইন্ডিয়াতে ধনির বাড়ীতে কত বার হামলা হইচে আরো বেসি কিছু হয় বাড়ী ঘরও বাংচুর হয় কিন্তু সে হিসেবে চেলেটাকে হয়রানি করার দরকার চিলোনা সে ইচ্ছে করলে মান হানির মামলা করতে পারবে মশফিক পারবেনা,NOT
1278,রুবেলকে টুকায় টুকায় লাগে দেখতে,NOT
1279,ভাই ডিসির দোন আছে এ তো চোদার এস্টাইল জানে না যা মাল ভাই ঘোড়া চোদন দিতে হবে 😂😂😂😂,HOF
1280,ভদৃ দেশে বলে ? আর তে রাস্তায় যাম লাগিয়ে করে অভদ্র ভাষা করে মন্ত্রী মঽদয় ।,NOT
1281,সাকিব কে বছরের জন্য নিষিদ্ধ করেছে আইসিসি। দ্বায় স্বীকার করার বছরের শাস্তি স্থগিত। খেলায় ফিরবে সালের অক্টোবর। সাকিবের এই শাস্তির জন্য সাকিবের চেয়ে বোর্ড বেশি দ্বায়ী। ফিক্সিং এর তদন্ত করতে বছর সময় লাগার কথা নয়। হটাৎ করে এতো দিন পর কেন এই শাস্তি আসলো!! কিছু দিন আগে পাপন হুংকার ছেড়ে বলেছিলো আপনারা শীঘ্রই ফিক্সিং এর খবর পাবেন। আইসিসির আগে ঐ কুলাঙ্গার কিভাবে জানতো ফিক্সিং এর শাস্তির বেপার। বোর্ডের যে কর্মকর্তাই হোক আইসিসি কে সাকিবের এই খবর দেবার পর ই আইসিসি তাদের আইনিপদক্ষেপ নিয়েছে। কল ট্রেকিং করা হয়েছে তাছাড়া কেন বছর পর!! মূলত পাপন ই এই কাজ করেছে। সাকিব হয়তো বুঝতে পেরেছিলো যে সে শাস্তি পাবে তাই বোর্ডের চুক্তি লংঘন করেই গ্রামীণ ফোনের সাথে চুক্তি করেছে। বুদ্ধি আছে বলতে হবে। সাকিবের উচিত বাংলাদেশ ক্রিকেট কে বিদায় বলে দেওয়া। এবং অন্য দেশের হয়ে ক্রিকেট খেলা। তারপর এরা বুঝবে কি মূল্যবান সম্পদ হারালো। (এটা আমার ব্যক্তিগত মতামত),HOF
1282,বেয়াদব আল্লাহর রহমত হইতে বন্চিত তুমি যে একটা বেয়াদব তুমার কথায় এইটা ইসপস্ট গিয়াস উদ্দিন তাহেরি তুমার চাইতে বয়সেও বড়ো এবং এলেমের দিক দিয়েও বড়ো,NOT
1283,বাংলাদেশের আবাল ক্রিকেটাররা সাকিবরে ব্যবহার করে নিজেরা নিজ নিজ মত খেলা চালিয়ে যাচ্ছে।। আর ডেকির তলে মাথা গুজে দিছে ।। তামিমের ও খেলতে যেতে হবে আর সাকিব ও যাবে।। তারা না গেলে বাংলাদেশের একটা খেলোয়ারও যাবে না।।।,HOF
1284,টিবি চ্যানেল গুলু হলুদ সাংবাদিক।তাদের কথায় বিশ্বাস করবেন না। ক্যামারায় ধরা পরেছে মিন্নি জরিত।,NOT
1285,চোর বেয়াদব খারাপ রাস্তা বাচ্ছা এগুলি আমাদের বাংলা গরিবে ভালো মানুষে প্রিয় নেতা জনাব ওবায়দুল কাদের সাহেব কে নিয়ে কাউয়া বলে এবন বাঁজে কতা বলে,NOT
